Player,Color,Opponent,PlayerElo,OpponentElo,Result,Date,UTCTime,Opening,NumMoves
player_32,White,opponent_1074,2365,2333,0-1,2025-10-01,00:01:55,Queen's Pawn Game,62
player_26,White,opponent_1290,1999,2143,0-1,2025-10-01,00:01:26,Van Geet Opening,48
player_29,White,opponent_1744,2156,2131,0-1,2025-10-01,00:01:28,Four Knights Game: Spanish Variation,98
player_23,White,opponent_0941,2215,2272,0-1,2025-10-01,00:01:44,Pirc Defense: Classical Variation,138
player_07,Black,opponent_0253,2020,2019,0-1,2025-10-01,00:01:45,Nimzowitsch Defense: Colorado Countergambit,59
player_16,White,opponent_1611,2289,2220,1-0,2025-10-01,00:01:47,Vienna Game: Max Lange Defense,121
player_36,White,opponent_1206,1850,1818,1-0,2025-10-01,00:01:48,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,39
player_01,Black,opponent_1953,2098,2178,1-0,2025-10-01,00:02:13,"Sicilian Defense: Smith-Morra Gambit Accepted, Scheveningen Formation",75
player_40,White,opponent_1047,2262,2239,1-0,2025-10-01,00:02:15,Van't Kruijs Opening,77
player_22,Black,opponent_2007,2239,2262,1-0,2025-10-01,00:02:15,Van't Kruijs Opening,77
player_12,White,opponent_1141,2018,1978,1-0,2025-10-01,00:02:12,Van Geet Opening,65
player_39,White,opponent_0186,2291,2323,0-1,2025-10-01,00:02:56,Catalan Opening,78
player_03,White,opponent_0213,1907,1918,1-0,2025-10-01,00:02:19,Bird Opening: Williams-Zilbermints Gambit,59
player_19,Black,opponent_1199,1901,1852,1-0,2025-10-01,00:02:19,Barnes Defense,47
player_13,White,opponent_0060,2275,2293,0-1,2025-10-01,00:01:59,GrÇ¬nfeld Defense: Three Knights Variation,64
player_20,White,opponent_1303,2298,2332,0-1,2025-10-01,00:02:59,Tarrasch Defense: Two Knights Variation,48
player_06,White,opponent_0172,2064,2014,0-1,2025-10-01,00:03:01,Saragossa Opening,152
player_33,White,opponent_1142,2141,2149,0-1,2025-10-01,00:02:24,Saragossa Opening,84
player_26,White,opponent_0344,1996,2158,1-0,2025-10-01,00:02:24,King's Indian Attack: Sicilian Variation,81
player_36,Black,opponent_1428,1856,1853,1-0,2025-10-01,00:02:56,Old Indian Defense,71
player_04,White,opponent_1275,2159,2164,1-0,2025-10-01,00:02:05,Caro-Kann Defense,109
player_37,White,opponent_1635,1942,2017,0-1,2025-10-01,00:02:47,Van Geet Opening,64
player_10,Black,opponent_1702,1906,1899,0-1,2025-10-01,00:02:38,"Sicilian Defense: Kan Variation, Knight Variation",66
player_07,Black,opponent_0525,2026,2024,0-1,2025-10-01,00:03:32,Nimzo-Larsen Attack: Classical Variation,96
player_27,Black,opponent_0104,2173,2195,1-0,2025-10-01,00:03:32,Vienna Game: Falkbeer Variation,67
player_14,Black,opponent_0500,1933,1927,0-1,2025-10-01,00:02:40,Scandinavian Defense: Modern Variation,84
player_18,Black,opponent_1169,2042,2052,0-1,2025-10-01,00:03:28,Sicilian Defense: Modern Variations,142
player_30,White,opponent_1843,2199,2209,0-1,2025-10-01,00:02:49,Queen's Pawn Game,52
player_08,Black,opponent_1615,1927,1884,0-1,2025-10-01,00:03:43,"French Defense: La Bourdonnais Variation, Reuter Gambit",16
player_24,Black,opponent_1779,2256,2262,0-1,2025-10-01,00:03:43,Queen's Pawn Game,66
player_23,Black,opponent_0941,2210,2277,0-1,2025-10-01,00:03:10,Queen's Gambit Declined: Austrian Defense,102
player_28,Black,opponent_1533,1956,1956,1-0,2025-10-01,00:03:19,King's Pawn Game: MacLeod Attack,32
player_29,Black,opponent_0951,2150,2161,0-1,2025-10-01,00:03:58,Queen's Pawn Game: Symmetrical Variation,84
player_25,White,opponent_0184,1879,1893,0-1,2025-10-01,00:03:58,"Modern Defense: Mongredien Defense, with Nf3",70
player_13,Black,opponent_0060,2269,2299,1-0,2025-10-01,00:04:03,English Opening: Mikenas-Carls Variation,97
player_12,Black,opponent_1402,2023,1995,0-1,2025-10-01,00:03:55,Nimzo-Larsen Attack: Indian Variation,44
player_26,Black,opponent_0344,2004,2149,1-0,2025-10-01,00:03:35,Owen Defense,79
player_03,Black,opponent_0029,1913,1899,1-0,2025-10-01,00:03:36,Queen's Gambit Declined: Marshall Defense,49
player_33,White,opponent_1768,2136,2107,0-1,2025-10-01,00:04:35,Saragossa Opening,78
player_20,Black,opponent_1303,2293,2337,1-0,2025-10-01,00:04:22,"Nimzowitsch Defense: Kennedy Variation, Paulsen Attack",71
player_19,White,opponent_1199,1895,1858,1-0,2025-10-01,00:04:22,Sicilian Defense,85
player_04,Black,opponent_0225,2165,2161,1-0,2025-10-01,00:04:22,Queen's Gambit Declined,83
player_22,White,opponent_2007,2234,2267,0-1,2025-10-01,00:04:26,English Opening: Agincourt Defense,60
player_40,Black,opponent_1047,2267,2234,0-1,2025-10-01,00:04:26,English Opening: Agincourt Defense,60
player_23,White,opponent_0941,2217,2271,1-0,2025-10-01,00:04:30,Caro-Kann Defense,127
player_01,White,opponent_1953,2094,2182,0-1,2025-10-01,00:04:32,Indian Defense: Omega Gambit,86
player_26,White,opponent_0344,2000,2153,0-1,2025-10-01,00:04:48,King's Indian Attack: Sicilian Variation,80
player_37,Black,opponent_1635,1937,2022,1-0,2025-10-01,00:04:35,Queen's Pawn Game: Torre Attack,91
player_35,White,opponent_1722,2211,2116,1-0,2025-10-01,00:04:38,Pirc Defense: Roscher Gambit,87
player_30,Black,opponent_0496,2194,2206,1-0,2025-10-01,00:04:56,"English Opening: King's English Variation, Nimzowitsch Variation",47
player_08,Black,opponent_1428,1933,1858,0-1,2025-10-01,00:04:56,Semi-Slav Defense: Accelerated Move Order,44
player_28,White,opponent_0804,1950,1943,1-0,2025-10-01,00:04:56,Petrov's Defense: Stafford Gambit,17
player_36,Black,opponent_1352,1850,1913,0-1,2025-10-01,00:04:56,Pirc Defense,21
player_16,White,opponent_2015,2294,2258,1-0,2025-10-01,00:04:18,French Defense: Two Knights Variation,97
player_10,White,opponent_1459,1912,1947,1-0,2025-10-01,00:04:45,Englund Gambit Declined,65
player_03,Black,opponent_0341,1907,1851,0-1,2025-10-01,00:05:13,Queen's Pawn Game: Accelerated London System,102
player_38,White,opponent_0052,1967,1948,1-0,2025-10-01,00:05:05,Mieses Opening,59
player_28,Black,opponent_1512,1955,1986,1-0,2025-10-01,00:05:27,Scotch Game: GÇôring Gambit,73
player_02,Black,opponent_1325,2038,2013,0-1,2025-10-01,00:05:31,Owen Defense,50
player_35,Black,opponent_1722,2215,2105,0-1,2025-10-01,00:05:24,Caro-Kann Defense: Hillbilly Attack,68
player_14,White,opponent_2027,1939,1958,1-0,2025-10-01,00:05:00,Zukertort Opening: Tennison Gambit,79
player_36,White,opponent_1092,1857,1837,0-1,2025-10-01,00:05:37,Benoni Defense: French Benoni,72
player_26,Black,opponent_0344,1997,2156,1-0,2025-10-01,00:06:01,Vienna Game: Falkbeer Variation,115
player_24,Black,opponent_0579,2262,2288,0-1,2025-10-01,00:05:41,Rapport-Jobava System,108
player_27,White,opponent_1659,2167,2136,1-0,2025-10-01,00:05:52,"French Defense: Advance Variation, Paulsen Attack",63
player_23,Black,opponent_0941,2224,2264,0-1,2025-10-01,00:05:58,Queen's Pawn Game: Torre Attack,83
player_20,White,opponent_1303,2288,2342,1-0,2025-10-01,00:05:53,Benoni Defense: Old Benoni,49
player_35,White,opponent_1722,2219,2096,0-1,2025-10-01,00:06:07,Queen's Pawn Game: Symmetrical Variation,66
player_11,Black,opponent_1622,1980,1991,1-0,2025-10-01,00:06:08,Van Geet Opening,13
player_29,White,opponent_0169,2156,2169,0-1,2025-10-01,00:06:15,Sicilian Defense: Dragon Variation,66
player_32,Black,opponent_0016,2359,2281,0-1,2025-10-01,00:06:15,Owen Defense,24
player_07,White,opponent_1827,2031,2065,1-0,2025-10-01,00:06:12,Englund Gambit Declined: Reversed Krebs,65
player_16,White,opponent_1400,2299,2417,1-0,2025-10-01,00:06:24,Sicilian Defense: Closed,117
player_40,White,opponent_1047,2272,2229,1-0,2025-10-01,00:06:37,Van't Kruijs Opening,35
player_22,Black,opponent_2007,2229,2272,1-0,2025-10-01,00:06:37,Van't Kruijs Opening,35
player_30,Black,opponent_0336,2188,2234,1-0,2025-10-01,00:06:31,Queen's Pawn Game: Symmetrical Variation,77
player_08,Black,opponent_0841,1937,1948,0-1,2025-10-01,00:06:18,French Defense: Exchange Variation,56
player_04,Black,opponent_1286,2159,2140,0-1,2025-10-01,00:06:40,French Defense,20
player_13,Black,opponent_0917,2264,2271,0-1,2025-10-01,00:06:40,Caro-Kann Defense: Karpov Variation,122
player_19,Black,opponent_1199,1900,1853,1-0,2025-10-01,00:06:42,Barnes Defense,63
player_11,Black,opponent_1407,1975,1943,0-1,2025-10-01,00:06:35,Scandinavian Defense,114
player_35,Black,opponent_1722,2212,2114,0-1,2025-10-01,00:06:46,Caro-Kann Defense: Hillbilly Attack,84
player_01,Black,opponent_1953,2089,2187,1-0,2025-10-01,00:06:49,Sicilian Defense: Smith-Morra Gambit Accepted,41
player_37,White,opponent_1635,1933,2026,1/2-1/2,2025-10-01,00:06:51,Caro-Kann Defense: Campomanes Attack,101
player_18,White,opponent_1504,2047,2038,1-0,2025-10-01,00:07:06,French Defense: Normal Variation,71
player_06,Black,opponent_1911,2057,1998,0-1,2025-10-01,00:07:00,Caro-Kann Defense,44
player_12,White,opponent_1066,2029,2017,1-0,2025-10-01,00:07:02,Indian Defense: Maddigan Gambit,55
player_33,Black,opponent_1747,2130,2156,0-1,2025-10-01,00:07:12,Barnes Defense,60
player_20,Black,opponent_1303,2294,2335,1-0,2025-10-01,00:07:19,Scotch Game: GÇôring Gambit,75
player_10,Black,opponent_1476,1918,1859,0-1,2025-10-01,00:07:19,"Sicilian Defense: Kan Variation, Knight Variation",60
player_38,Black,opponent_0052,1973,1943,1-0,2025-10-01,00:06:56,English Defense,79
player_26,White,opponent_0344,1994,2160,0-1,2025-10-01,00:07:13,King's Indian Attack: Keres Variation,102
player_03,Black,opponent_1256,1912,1938,1-0,2025-10-01,00:07:22,Scandinavian Defense: Valencian Variation,29
player_14,Black,opponent_0829,1945,1970,0-1,2025-10-01,00:07:22,Scandinavian Defense: Modern Variation,64
player_36,Black,opponent_0609,1851,1897,0-1,2025-10-01,00:07:33,Pirc Defense,24
player_04,White,opponent_1275,2165,2143,0-1,2025-10-01,00:07:25,Caro-Kann Defense,70
player_28,White,opponent_1830,1950,1951,0-1,2025-10-01,00:07:41,Philidor Defense,72
player_02,Black,opponent_1392,2043,2042,0-1,2025-10-01,00:07:41,Nimzo-Larsen Attack: Modern Variation,82
player_21,White,opponent_1241,1871,1874,0-1,2025-10-01,00:07:41,"Queen's Gambit Declined: Tarrasch Defense, Pseudo-Tarrasch",78
player_25,Black,opponent_0995,1874,1871,0-1,2025-10-01,00:07:41,"Queen's Gambit Declined: Tarrasch Defense, Pseudo-Tarrasch",78
player_32,White,opponent_1093,2363,2290,0-1,2025-10-01,00:07:41,Horwitz Defense,56
player_23,White,opponent_0941,2230,2258,1/2-1/2,2025-10-01,00:07:41,Caro-Kann Defense,38
player_08,White,opponent_0615,1943,1922,0-1,2025-10-01,00:07:37,English Opening: King's English Variation,72
player_35,White,opponent_1722,2216,2104,0-1,2025-10-01,00:07:29,Indian Defense: Knights Variation,36
player_22,White,opponent_2007,2224,2277,1-0,2025-10-01,00:07:37,Saragossa Opening,43
player_40,Black,opponent_1047,2277,2224,1-0,2025-10-01,00:07:37,Saragossa Opening,43
player_01,White,opponent_1953,2085,2191,1-0,2025-10-01,00:07:59,"Indian Defense: Paleface Attack, Blackmar-Diemer Gambit Deferred",31
player_35,Black,opponent_1722,2208,2121,0-1,2025-10-01,00:07:52,Caro-Kann Defense: Hillbilly Attack,90
player_23,Black,opponent_0941,2231,2257,1-0,2025-10-01,00:08:14,Queen's Gambit Declined: Marshall Defense,87
player_03,White,opponent_0423,1907,1965,0-1,2025-10-01,00:08:14,Bird Opening: Williams Gambit,50
player_36,White,opponent_0650,1857,1844,0-1,2025-10-01,00:08:14,"Pirc Defense: Austrian Attack, Unzicker Attack",56
player_07,White,opponent_0449,2038,2177,1-0,2025-10-01,00:08:14,"Queen's Pawn Game: Torre Attack, GrÇ¬nfeld Variation",87
player_29,White,opponent_1831,2150,2078,1-0,2025-10-01,00:08:07,"Sicilian Defense: Closed, Traditional",45
player_26,Black,opponent_0344,1991,2163,1-0,2025-10-01,00:08:31,Owen Defense,73
player_24,White,opponent_0020,2268,2377,1/2-1/2,2025-10-01,00:08:25,Queen's Pawn Game: Modern Defense,119
player_27,Black,opponent_1255,2173,2129,1-0,2025-10-01,00:08:18,Queen's Pawn Game: Colle System,67
player_06,White,opponent_2002,2062,1677,1-0,2025-10-01,00:08:32,Saragossa Opening,37
player_35,White,opponent_1722,2213,2112,0-1,2025-10-01,00:08:36,French Defense: Mediterranean Defense,84
player_12,White,opponent_1057,2034,1999,0-1,2025-10-01,00:08:57,Van Geet Opening,70
player_01,Black,opponent_1953,2093,2184,1-0,2025-10-01,00:09:00,Sicilian Defense: Smith-Morra Gambit Accepted,35
player_13,White,opponent_0202,2270,2360,1-0,2025-10-01,00:09:04,Zukertort Opening: Vos Gambit,75
player_30,Black,opponent_0643,2183,2208,0-1,2025-10-01,00:08:54,Scandinavian Defense: Panov Transfer,36
player_34,Black,opponent_1155,2207,2165,1-0,2025-10-01,00:08:43,RÇ¸ti Opening: Advance Variation,81
player_19,White,opponent_1199,1893,1860,1-0,2025-10-01,00:08:45,Sicilian Defense,57
player_40,White,opponent_1047,2271,2231,1-0,2025-10-01,00:09:01,Van't Kruijs Opening,53
player_22,Black,opponent_2007,2231,2271,1-0,2025-10-01,00:09:01,Van't Kruijs Opening,53
player_37,Black,opponent_1635,1935,2024,1-0,2025-10-01,00:09:11,Hungarian Opening,77
player_20,White,opponent_1303,2289,2341,1-0,2025-10-01,00:09:11,Queen's Pawn Game: Krause Variation,55
player_11,White,opponent_0601,1980,1895,1-0,2025-10-01,00:09:12,Polish Opening,95
player_16,Black,opponent_0042,2307,2296,1-0,2025-10-01,00:09:12,Benoni Defense: Old Benoni,85
player_26,White,opponent_0344,1988,2166,0-1,2025-10-01,00:09:32,Hungarian Opening,54
player_23,White,opponent_0941,2225,2263,1-0,2025-10-01,00:09:33,Pirc Defense: Classical Variation,101
player_35,Black,opponent_1722,2206,2127,0-1,2025-10-01,00:09:21,Caro-Kann Defense: Hillbilly Attack,80
player_38,White,opponent_0834,1967,1968,1-0,2025-10-01,00:09:24,Mieses Opening,53
player_04,White,opponent_0605,2159,2180,1-0,2025-10-01,00:09:34,Philidor Defense,81
player_29,White,opponent_1522,2155,2189,1-0,2025-10-01,00:09:28,French Defense: Queen's Knight,67
player_08,White,opponent_1811,1937,1939,1-0,2025-10-01,00:09:53,English Opening: King's English Variation,71
player_07,Black,opponent_0155,2046,2012,0-1,2025-10-01,00:09:53,English Opening: Caro-Kann Defensive System,64
player_02,White,opponent_1566,2049,1954,0-1,2025-10-01,00:10:09,Nimzo-Larsen Attack,94
player_14,White,opponent_0780,1951,1891,0-1,2025-10-01,00:09:55,Sicilian Defense: McDonnell Attack,68
player_32,Black,opponent_1598,2357,2296,0-1,2025-10-01,00:09:55,Owen Defense,66
player_33,Black,opponent_1850,2136,2134,1-0,2025-10-01,00:09:55,Barnes Defense,57
player_01,White,opponent_1953,2088,2188,0-1,2025-10-01,00:09:56,Caro-Kann Defense: Hillbilly Attack,58
player_25,Black,opponent_0842,1880,1882,0-1,2025-10-01,00:09:46,French Defense: La Bourdonnais Variation,36
player_21,Black,opponent_1203,1866,1864,0-1,2025-10-01,00:09:46,Zukertort Opening: Lemberger Gambit,62
player_03,Black,opponent_1899,1902,1925,0-1,2025-10-01,00:09:46,English Opening: Anglo-Scandinavian Defense,82
player_28,Black,opponent_0781,1945,1946,1-0,2025-10-01,00:09:46,Ruy Lopez: Classical Variation,49
player_06,White,opponent_1036,2063,1937,1-0,2025-10-01,00:10:05,Saragossa Opening,83
player_36,Black,opponent_0556,1851,1877,0-1,2025-10-01,00:10:16,Pirc Defense,30
player_05,Black,opponent_0888,2047,2148,1-0,2025-10-01,00:10:16,Queen's Pawn Game: Colle System,71
player_18,White,opponent_1942,2053,2119,1-0,2025-10-01,00:10:25,Alekhine Defense: Exchange Variation,33
player_19,Black,opponent_1199,1899,1854,1-0,2025-10-01,00:10:14,Barnes Defense,49
player_27,White,opponent_1255,2165,2136,0-1,2025-10-01,00:10:50,Sicilian Defense: LÇôwenthal Variation,96
player_24,Black,opponent_1581,2270,2450,1-0,2025-10-01,00:10:38,Saragossa Opening,51
player_35,White,opponent_1722,2210,2118,0-1,2025-10-01,00:10:05,French Defense: Mediterranean Defense,78
player_30,White,opponent_0181,2190,2211,1-0,2025-10-01,00:10:05,Yusupov-Rubinstein System,71
player_20,Black,opponent_1303,2296,2334,1-0,2025-10-01,00:10:43,Nimzowitsch Defense: Kennedy Variation,75
player_26,Black,opponent_0461,1985,2265,1-0,2025-10-01,00:10:57,French Defense: Knight Variation,53
player_34,White,opponent_1257,2201,2208,0-1,2025-10-01,00:10:57,Blackmar-Diemer Gambit,76
player_35,Black,opponent_1722,2203,2132,0-1,2025-10-01,00:10:47,Queen's Pawn Game,62
player_25,Black,opponent_1331,1886,1857,1-0,2025-10-01,00:11:04,Zukertort Opening: Queen's Gambit Invitation,79
player_36,White,opponent_0942,1857,1857,0-1,2025-10-01,00:10:48,Petrov's Defense: Modern Attack,64
player_12,Black,opponent_0188,2028,2078,1-0,2025-10-01,00:11:09,Zukertort Opening: Lemberger Gambit,65
player_22,White,opponent_2007,2226,2276,1-0,2025-10-01,00:11:13,English Opening: Agincourt Defense,69
player_40,Black,opponent_1047,2276,2226,1-0,2025-10-01,00:11:13,English Opening: Agincourt Defense,69
player_11,Black,opponent_0601,1984,1890,1-0,2025-10-01,00:11:28,Bird Opening: Williams Gambit,61
player_05,White,opponent_0888,2043,2152,0-1,2025-10-01,00:11:28,Modern Defense: Standard Defense,50
player_30,White,opponent_1574,2196,2234,1-0,2025-10-01,00:11:31,Queen's Pawn Game,85
player_07,Black,opponent_1381,2051,2067,0-1,2025-10-01,00:11:31,Queen's Pawn Game,16
player_26,White,opponent_0461,1983,2267,0-1,2025-10-01,00:11:49,Hungarian Opening,128
player_01,Black,opponent_1953,2084,2192,1-0,2025-10-01,00:11:51,Sicilian Defense: Smith-Morra Gambit Accepted,83
player_13,White,opponent_0917,2277,2271,1-0,2025-10-01,00:11:24,Slav Defense: Modern Line,89
player_39,Black,opponent_0467,2133,2130,0-1,2025-10-01,00:11:24,Modern Defense: Standard Defense,52
player_37,White,opponent_1635,1930,2029,1-0,2025-10-01,00:11:24,Queen's Pawn Game,32
player_35,White,opponent_1722,2208,2123,0-1,2025-10-01,00:11:17,"French Defense: Winawer Variation, Advance Variation",54
player_38,Black,opponent_0865,1972,1978,1-0,2025-10-01,00:11:35,Horwitz Defense,87
player_35,Black,opponent_1722,2201,2136,1-0,2025-10-01,00:11:52,Caro-Kann Defense: Breyer Variation,81
player_32,Black,opponent_0947,2361,2310,0-1,2025-10-01,00:11:53,Torre Attack: Classical Defense,102
player_24,White,opponent_0170,2267,2327,0-1,2025-10-01,00:12:14,Queen's Pawn Game: Anti-Torre,102
player_21,Black,opponent_0503,1872,1886,0-1,2025-10-01,00:11:56,Alekhine Defense: Normal Variation,24
player_28,White,opponent_0727,1939,1945,0-1,2025-10-01,00:11:56,Zukertort Opening: Tennison Gambit,54
player_14,Black,opponent_1341,1945,1939,0-1,2025-10-01,00:11:56,Zukertort Opening: Tennison Gambit,54
player_03,White,opponent_0626,1908,1914,1-0,2025-10-01,00:12:24,Bird Opening: Williams-Zilbermints Gambit,83
player_04,Black,opponent_1094,2165,2165,1-0,2025-10-01,00:11:46,Horwitz Defense,81
player_16,Black,opponent_0966,2301,2292,1-0,2025-10-01,00:11:38,Sicilian Defense: Closed,111
player_29,Black,opponent_0734,2161,2176,1-0,2025-10-01,00:12:03,Scandinavian Defense: Main Line,77
player_37,Black,opponent_1635,1938,2022,1-0,2025-10-01,00:12:21,Hungarian Opening,103
player_10,White,opponent_0436,1923,1991,0-1,2025-10-01,00:11:43,Queen's Pawn Game: Modern Defense,64
player_36,Black,opponent_2038,1852,1901,0-1,2025-10-01,00:12:57,Queen's Pawn Game,50
player_23,Black,opponent_1520,2232,2487,1-0,2025-10-01,00:12:41,Scandinavian Defense: Icelandic-Palme Gambit,91
player_06,Black,opponent_0929,2067,2073,1-0,2025-10-01,00:12:08,Caro-Kann Defense,73
player_19,White,opponent_1199,1892,1861,1-0,2025-10-01,00:12:09,Sicilian Defense,65
player_07,White,opponent_0471,2057,2215,0-1,2025-10-01,00:12:31,Queen's Pawn Game: Zukertort Variation,64
player_35,White,opponent_1722,2194,2149,1-0,2025-10-01,00:12:34,French Defense: Perseus Gambit,71
player_05,White,opponent_0888,2035,2160,0-1,2025-10-01,00:12:26,Pirc Defense,74
player_21,Black,opponent_1760,1878,1766,1-0,2025-10-01,00:13:01,"Alekhine Defense: Four Pawns Attack, Fianchetto Variation",59
player_02,White,opponent_0962,2041,2049,0-1,2025-10-01,00:12:47,Nimzo-Larsen Attack,96
player_08,Black,opponent_0956,1943,1940,1-0,2025-10-01,00:11:58,"Queen's Pawn Game: London System, with e6",111
player_05,Black,opponent_0888,2039,2156,1-0,2025-10-01,00:11:59,Queen's Pawn Game: Colle System,51
player_06,White,opponent_1514,2062,2284,0-1,2025-10-01,00:13:40,Saragossa Opening,78
player_22,White,opponent_0461,2232,2269,0-1,2025-10-01,00:13:41,French Defense: Normal Variation,98
player_20,White,opponent_1303,2291,2339,1-0,2025-10-01,00:12:37,Van Geet Opening: Dunst-Perrenet Gambit,67
player_26,Black,opponent_1263,1981,1985,0-1,2025-10-01,00:13:15,"English Opening: Anglo-Indian Defense, King's Knight Variation",58
player_25,White,opponent_0748,1879,1879,1-0,2025-10-01,00:13:18,French Defense: Exchange Variation,79
player_18,White,opponent_1392,2060,2047,1-0,2025-10-01,00:12:50,Sicilian Defense: Hyperaccelerated Pterodactyl,57
player_05,Black,opponent_0888,2031,2164,0-1,2025-10-01,00:13:05,Queen's Pawn Game: Colle System,90
player_13,White,opponent_1807,2283,2206,0-1,2025-10-01,00:13:25,Queen's Pawn Game: Zukertort Variation,86
player_27,Black,opponent_1255,2158,2142,1-0,2025-10-01,00:13:21,Yusupov-Rubinstein System,49
player_34,Black,opponent_1994,2195,2151,1-0,2025-10-01,00:13:21,Queen's Pawn Game: Krause Variation,85
player_12,Black,opponent_1457,2023,2077,1-0,2025-10-01,00:13:28,"Queen's Gambit Declined: Vienna Variation, Quiet Variation",73
player_36,Black,opponent_1486,1858,1802,0-1,2025-10-01,00:13:55,Pirc Defense,50
player_40,Black,opponent_1684,2269,2316,0-1,2025-10-01,00:13:55,French Defense,62
player_32,White,opponent_0753,2366,2344,0-1,2025-10-01,00:13:55,Dutch Defense: Fianchetto Attack,90
player_28,Black,opponent_0562,1933,2051,0-1,2025-10-01,00:13:55,Hungarian Opening: Sicilian Invitation,72
player_10,White,opponent_2038,1918,1894,1-0,2025-10-01,00:13:50,Englund Gambit Declined,83
player_30,Black,opponent_2030,2202,2306,1-0,2025-10-01,00:13:43,Queen's Pawn Game,47
player_39,White,opponent_1154,2139,2072,0-1,2025-10-01,00:13:43,Mieses Opening,102
player_11,White,opponent_0601,1977,1898,0-1,2025-10-01,00:13:35,Horwitz Defense,86
player_01,White,opponent_1953,2080,2196,1-0,2025-10-01,00:14:11,Nimzo-Indian Defense: SÇÏmisch Variation,37
player_05,White,opponent_0888,2039,2156,1-0,2025-10-01,00:13:47,Van Geet Opening: Dougherty Gambit,95
player_04,Black,opponent_1753,2159,2095,0-1,2025-10-01,00:13:58,French Defense: Exchange Variation,104
player_38,White,opponent_0859,1967,2007,1-0,2025-10-01,00:14:06,Mieses Opening,27
player_23,White,opponent_1520,2230,2489,1-0,2025-10-01,00:14:06,Sicilian Defense: Smith-Morra Gambit,73
player_16,White,opponent_0966,2295,2298,1-0,2025-10-01,00:13:57,Scandinavian Defense: Mieses-Kotroc Variation,101
player_24,Black,opponent_1969,2262,2268,1-0,2025-10-01,00:14:29,Queen's Pawn Game: London System,57
player_05,Black,opponent_0888,2047,2149,1-0,2025-10-01,00:14:29,Queen's Pawn Game: Colle System,109
player_33,White,opponent_1558,2130,2106,1-0,2025-10-01,00:14:38,Saragossa Opening,42
player_20,Black,opponent_1303,2297,2333,1-0,2025-10-01,00:14:40,"Nimzowitsch Defense: Kennedy Variation, Main Line",37
player_29,Black,opponent_0772,2156,2115,0-1,2025-10-01,00:14:25,King's Indian Attack: Keres Variation,72
player_19,Black,opponent_1199,1897,1856,0-1,2025-10-01,00:14:26,Barnes Defense,64
player_07,Black,opponent_0697,2054,2021,0-1,2025-10-01,00:14:48,Semi-Slav Defense: Accelerated Move Order,64
player_35,Black,opponent_0695,2199,2214,0-1,2025-10-01,00:14:49,Caro-Kann Defense,86
player_03,White,opponent_1806,1914,1866,0-1,2025-10-01,00:14:51,Owen Defense,40
player_26,White,opponent_1263,1987,1979,0-1,2025-10-01,00:14:16,Zukertort Opening: Queen's Gambit Invitation,114
player_08,White,opponent_0755,1937,1946,0-1,2025-10-01,00:14:18,English Opening: Agincourt Defense,92
player_22,Black,opponent_0461,2227,2274,1-0,2025-10-01,00:15:11,King's Pawn Game: Damiano Defense,77
player_06,White,opponent_1253,2059,1859,1-0,2025-10-01,00:15:13,Saragossa Opening,89
player_38,Black,opponent_0282,1973,2027,0-1,2025-10-01,00:14:53,Zukertort Opening: Queen's Gambit Invitation,70
